treeID,species
B01,Kiefer
B02,Fichte
B03,Fichte
B04,Fichte
B05,Fichte
B06,Kiefer
B07,Buche
B08,Buche
B09,Kiefer
B10,Birke
B11,Birke
B12,Kiefer
B13,Eiche
B14,Kiefer
B15,Fichte
B16,Kiefer
B17,Kiefer
B18,Buche
B19,Buche
B20,Birke
B21,Buche
B22,Kiefer
B23,Kiefer
B24,Birke
B25,Kiefer
B26,Fichte
B27,Kiefer
B28,Fichte
B29,Fichte
B30,Fichte
B31,Fichte
B32,Fichte
B33,Fichte
B34,Fichte
B35,Fichte
B36,Buche
B37,Fichte
B38,Fichte
B39,Fichte
B40,Fichte
B41,Fichte
B42,Kiefer
B43,Fichte
B44,Fichte
B45,Kiefer
B46,Fichte
B47,Fichte
B48,Buche
B49,Fichte
B50,Fichte
B51,Kiefer
B52,Fichte
B53,Fichte
B54,Kiefer
B55,Kiefer
B56,Fichte
B57,Eiche
B58,Birke
B59,Buche
B60,Kiefer
B61,Kiefer
B62,Kiefer
B63,Birke
B64,Buche
B65,Buche
B66,Birke
B67,Kiefer
A01,Buche
A02,Buche
A03,Buche
A04,Kiefer
A05,Kiefer
A06,Buche
A07,Buche
A08,Buche
A09,Fichte
A10,Kiefer
A11,Fichte
A12,Fichte
A13,Kiefer
A14,Kiefer
A15,Fichte
A16,Fichte
A17,Fichte
A18,Fichte
A19,Kiefer
A20,Buche
A21,Buche
A22,Fichte
A23,Kiefer
A24,Kiefer
A25,Kiefer
A26,Buche
A27,Buche
A28,Kiefer
A29,Robinie
A30,Buche
A31,Kiefer
A32,Buche
A33,Buche
A34,Robinie
A35,Kiefer
A36,Kiefer
A37,Buche
